Unnamed: 0,JSON-index,JSON-ID,chan_name,event_time,pass_step1,pass_step2
0,0,10,CR5- SNR 0dB - #1,27.767578,True,True
1,1,12,CR5- SNR 0dB - #1,33.30957,False,False
2,2,14,CR5- SNR 0dB - #1,38.458496,False,False
3,3,17,CR5- SNR 0dB - #1,45.781738,False,False
4,4,18,CR5- SNR 0dB - #1,48.856934,False,False
5,5,37,CR5- SNR 0dB - #1,105.65918,False,False
6,6,45,CR5- SNR 0dB - #2,8.354492,False,False
7,7,53,CR5- SNR 0dB - #2,33.056641,False,False
8,8,63,CR5- SNR 0dB - #2,61.473145,False,False
9,9,64,CR5- SNR 0dB - #2,64.602539,False,False
10,10,65,CR5- SNR 0dB - #2,67.918945,False,False
11,11,67,CR5- SNR 0dB - #2,73.816895,False,False
12,12,86,CR5- SNR 0dB - #3,6.991211,False,False
13,13,94,CR5- SNR 0dB - #3,29.222168,False,False
14,14,97,CR5- SNR 0dB - #3,37.506348,False,False
15,15,105,CR5- SNR 0dB - #3,60.708984,False,False
16,16,109,CR5- SNR 0dB - #3,73.5625,False,False
17,17,116,CR5- SNR 0dB - #3,92.871094,False,False
18,18,131,CR5- SNR 0dB - #4,15.300781,False,False
19,19,133,CR5- SNR 0dB - #4,20.614746,False,True
20,20,138,CR5- SNR 0dB - #4,34.257813,False,False
21,21,144,CR5- SNR 0dB - #4,51.571777,False,False
22,22,146,CR5- SNR 0dB - #4,57.743164,False,False
23,23,151,CR5- SNR 0dB - #4,72.777344,False,False
24,24,172,CR5- SNR 0dB - #5,11.100098,False,False
25,25,190,CR5- SNR 0dB - #5,65.492676,True,True
26,26,194,CR5- SNR 0dB - #5,77.112305,False,False
27,27,198,CR5- SNR 0dB - #5,87.469238,False,False
28,28,202,CR5- SNR 0dB - #5,99.490723,False,False
29,29,207,CR5- SNR 0dB - #5,114.388672,False,False
30,30,213,CR5- SNR 0dB - #6,9.046387,False,False
31,31,215,CR5- SNR 0dB - #6,13.478027,False,False
32,32,220,CR5- SNR 0dB - #6,29.262207,False,False
33,33,235,CR5- SNR 0dB - #6,73.292969,False,True
34,34,247,CR5- SNR 0dB - #6,108.017578,False,False
35,35,249,CR5- SNR 0dB - #6,113.069824,False,False
36,36,268,CR5- SNR 0dB - #7,45.797852,False,False
37,37,272,CR5- SNR 0dB - #7,57.100586,True,False
